timestamp, memory.used [MiB], utilization.gpu [%]
2026/02/02 01:45:07.220, 22058 MiB, 0 %
2026/02/02 01:45:22.222, 22058 MiB, 0 %
2026/02/02 01:45:37.222, 22058 MiB, 0 %
2026/02/02 01:45:52.222, 22058 MiB, 0 %
2026/02/02 01:46:07.224, 22058 MiB, 0 %
2026/02/02 01:46:22.225, 22058 MiB, 0 %
2026/02/02 01:46:37.226, 22058 MiB, 0 %
2026/02/02 01:46:52.227, 22058 MiB, 0 %
2026/02/02 01:47:07.228, 22058 MiB, 0 %
2026/02/02 01:47:22.229, 22058 MiB, 0 %
2026/02/02 01:47:37.231, 22058 MiB, 0 %
2026/02/02 01:47:52.232, 22058 MiB, 0 %
2026/02/02 01:48:07.233, 22058 MiB, 0 %
2026/02/02 01:48:22.234, 22058 MiB, 0 %
2026/02/02 01:48:37.235, 22058 MiB, 0 %
2026/02/02 01:48:52.236, 22058 MiB, 0 %
2026/02/02 01:49:07.237, 22058 MiB, 0 %
2026/02/02 01:49:22.238, 22058 MiB, 0 %
2026/02/02 01:49:37.239, 22058 MiB, 0 %
2026/02/02 01:49:52.240, 22058 MiB, 0 %
2026/02/02 01:50:07.242, 22058 MiB, 0 %
2026/02/02 01:50:22.243, 22058 MiB, 0 %
2026/02/02 01:50:37.244, 22058 MiB, 0 %
2026/02/02 01:50:52.245, 22058 MiB, 0 %
2026/02/02 01:51:07.246, 22058 MiB, 0 %
2026/02/02 01:51:22.248, 22058 MiB, 0 %
2026/02/02 01:51:37.249, 22058 MiB, 0 %
2026/02/02 01:51:52.250, 22058 MiB, 0 %
2026/02/02 01:52:07.251, 22058 MiB, 0 %
2026/02/02 01:52:22.252, 22058 MiB, 0 %
2026/02/02 01:52:37.254, 22058 MiB, 0 %
2026/02/02 01:52:52.254, 22058 MiB, 0 %
2026/02/02 01:53:07.254, 22058 MiB, 0 %
2026/02/02 01:53:22.256, 22058 MiB, 0 %
2026/02/02 01:53:37.256, 22058 MiB, 0 %
2026/02/02 01:53:52.256, 22058 MiB, 0 %
2026/02/02 01:54:07.257, 22058 MiB, 0 %
2026/02/02 01:54:22.258, 22058 MiB, 0 %
2026/02/02 01:54:37.259, 22058 MiB, 0 %
2026/02/02 01:54:52.259, 22058 MiB, 0 %
2026/02/02 01:55:07.260, 22058 MiB, 0 %
2026/02/02 01:55:22.262, 22058 MiB, 0 %
2026/02/02 01:55:37.263, 22058 MiB, 0 %
2026/02/02 01:55:52.315, 22058 MiB, 0 %
2026/02/02 01:56:07.315, 22058 MiB, 0 %
2026/02/02 01:56:22.316, 22058 MiB, 0 %
2026/02/02 01:56:37.316, 22058 MiB, 0 %
2026/02/02 01:56:52.316, 22058 MiB, 0 %
2026/02/02 01:57:07.318, 22058 MiB, 0 %
2026/02/02 01:57:22.319, 22058 MiB, 0 %
2026/02/02 01:57:37.320, 22058 MiB, 0 %
2026/02/02 01:57:52.321, 22058 MiB, 0 %
2026/02/02 01:58:07.322, 22058 MiB, 0 %
2026/02/02 01:58:22.324, 22058 MiB, 0 %
2026/02/02 01:58:37.325, 22058 MiB, 0 %
2026/02/02 01:58:52.326, 22058 MiB, 0 %
2026/02/02 01:59:07.327, 22058 MiB, 0 %
2026/02/02 01:59:22.329, 22058 MiB, 0 %
2026/02/02 01:59:37.330, 22058 MiB, 0 %
2026/02/02 01:59:52.332, 22058 MiB, 0 %
2026/02/02 02:00:07.333, 22058 MiB, 0 %
2026/02/02 02:00:22.334, 22058 MiB, 0 %
2026/02/02 02:00:37.334, 22058 MiB, 0 %
2026/02/02 02:00:52.334, 22058 MiB, 0 %
2026/02/02 02:01:07.335, 22058 MiB, 0 %
2026/02/02 02:01:22.337, 22058 MiB, 0 %
2026/02/02 02:01:37.338, 22058 MiB, 0 %
2026/02/02 02:01:52.339, 22058 MiB, 0 %
2026/02/02 02:02:07.340, 22058 MiB, 0 %
2026/02/02 02:02:22.342, 22058 MiB, 0 %
2026/02/02 02:02:37.342, 22058 MiB, 0 %
2026/02/02 02:02:52.343, 22058 MiB, 0 %
2026/02/02 02:03:07.344, 22058 MiB, 0 %
